id,name,created_at,advertisers_entities.id,entities.short_name,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
44659000-a3d5-4a39-b2a8-998e91d5eed2,Mouvement démocrate,2022-08-16T15:24:28.181Z,acfba776-787b-435b-a544-1d7e187b792d,MODEM,France,fr,12360216541,Mouvement démocrate,Facebook
5ded64d6-cd46-4525-8cb9-40bd7488cc82,Alliance centriste,2022-08-16T15:24:28.309Z,cb68f495-d225-47fe-9164-6b2e4b88dade,AUT,France,fr,326352644801,Alliance centriste,Facebook
509abdcd-af6c-4d53-8656-a0d8562459e4,Ligue du Sud,2022-08-16T15:24:28.437Z,bd8dc361-6f4e-477f-a4cd-478b6bf5e680,AUT,France,fr,197003843737153,Ligue du Sud,Facebook
665a4335-faf2-4c02-959c-e90629d8e0af,Parti communiste français,2022-08-16T15:24:28.230Z,6a775363-656e-4d21-a183-2e59c1cf5341,PCF,France,fr,186459878134648,Parti communiste français,Facebook
f448154b-9656-4d5a-93bd-c3a0cecf8a6c,Mouvement républicain et citoyen,2022-08-16T15:24:28.310Z,01dccff3-c582-41b7-9f4e-87f1bee19f54,AUT,France,fr,353493218047543,Mouvement républicain et citoyen,Facebook
2091b84b-a4d7-48fc-8050-da74e6b91815,Les Radicaux de gauche,2022-08-16T15:24:28.444Z,6123c852-02c1-419b-a84a-4811be8a9509,AUT,France,fr,1439252349521320,Les Radicaux de gauche,Facebook
262cde0f-0682-4e26-91ab-24110a195299,La France Insoumise,2022-08-16T15:24:28.190Z,51478858-36f4-4184-bd06-9df8d96b9db3,FI,France,fr,212018935817034,La France Insoumise,Facebook
19931dcd-6d79-440a-8888-408c885c5210,Europe Écologie Les Verts,2022-08-16T15:24:28.367Z,3e291c00-a8a1-4026-bb21-8301fa075a65,EELV,France,fr,51603470763,Europe Écologie Les Verts,Facebook
e19b85b8-dd27-433a-85c6-5887a77612a7,Pè a Corsica,2022-08-16T15:24:28.537Z,59318e9a-83f4-45c0-bba0-29fd21b7e966,AUT,France,fr,437621969755297,Pè a Corsica,Facebook
e2e9651f-18a3-49d8-aa1e-2dd5dec7e8aa,Parti socialiste,2022-08-16T15:24:28.180Z,38f49143-0c3c-45e9-8f30-77b4e3072970,PS,France,fr,71144068956,Parti socialiste,Facebook
e66c3caf-8a54-425e-ad68-cd7422a53195,Debout la France,2022-08-16T15:24:28.307Z,2c557e22-3160-4727-a8e7-2047ca0637d1,AUT,France,fr,1629780627243340,Debout la France,Facebook
3f9c735f-9fe7-4d0d-8ccf-fb3aa193fc1c,Les Patriotes,2022-08-16T15:24:28.440Z,f85a7d0d-78f9-45e9-8da9-9288a702e7e3,AUT,France,fr,139971746545497,Les Patriotes,Facebook
d3420424-6417-44ec-833c-e5a1ce4c09c8,Mouvement radical,2022-08-16T15:24:28.233Z,68ed46df-d908-4263-a15a-60293f6986b5,AUT,France,fr,211644879402497,Mouvement radical,Facebook
202e28c0-58ab-49d8-9ae0-02ef5322c943,Force européenne démocrate,2022-08-16T15:24:28.271Z,58f32b90-8168-42fe-9512-dc0e97ad6485,AUT,France,fr,378890358843146,Force européenne démocrate,Facebook
87981f91-4a78-44f3-832d-3dee89b80896,"Agir, la droite constructive",2022-08-16T15:24:28.413Z,37706cf9-2612-414c-bc0d-acab05b90a72,AUT,France,fr,465253883653521,"Agir, la droite constructive",Facebook
5aab2b96-6b23-4d27-b05a-07ef6e751e83,Les Républicains,2022-08-16T15:24:28.145Z,cca3ad70-eeab-4013-bb36-116e8d279194,LR,France,fr,120753977943486,Les Républicains,Facebook
5549d677-f6b3-40ae-b55b-c5ba2b6c567a,Gauche Moderne,2022-08-16T15:24:28.276Z,25788dbe-bbc9-4876-a7e7-2e0e9cace788,AUT,France,fr,304124802974215,Gauche Moderne,Facebook
23253cec-a4e9-4974-bf16-bee96f0b6131,Comités Jeanne,2022-08-16T15:24:28.415Z,50a8a705-5285-42ee-bb4e-7f8d8f4a2835,AUT,France,fr,477425659117832,Comités Jeanne,Facebook
4efe3f27-3562-47f1-a976-bd0319d721c1,Ensemble!,2022-08-16T15:24:28.378Z,7eff4e3b-f46c-4451-b6c9-14ba4683076e,AUT,France,fr,603815969666504,Ensemble!,Facebook
1024aabf-fa56-486d-ab81-4be3ba1cb9ca,Les Centristes,2022-08-16T15:24:28.248Z,7ece6199-6f64-4949-99a9-43ce1eb2bb1a,AUT,France,fr,342774942482317,Les Centristes,Facebook
76b54dc2-c2af-479f-9eae-6033b4c88dd1,Rassemblement national,2022-08-16T15:24:28.232Z,5244b1cc-0cc4-463b-a71f-f938d76519f0,RN,France,fr,21254500749,Rassemblement national,Facebook
dd6234ad-b631-4440-b47a-b13220d40e66,Génération.S,2022-08-16T15:24:28.367Z,7449b966-d02c-4749-ba4b-1b08657e6b84,AUT,France,fr,315725672211277,Génération.S,Facebook
2a01aa4b-c9d3-464b-8914-301d5fa3044a,La République En Marche!,2022-08-16T15:24:28.143Z,69e3749f-e2ff-43a7-aa8f-f9e60ddb3ed4,Ren,France,fr,543099962534877,La République En Marche!,Facebook
d02bb005-5b9c-4d53-aa3f-47b86c0bb1cc,Mouvement des progressistes,2022-08-16T15:24:28.277Z,68535022-268e-4242-91bb-57dcc0f07c1a,AUT,France,fr,310733679123730,Mouvement des progressistes,Facebook
5cfb6d46-1be9-4cd1-8a73-5b6e4a6575e8,Génération citoyens,2022-08-16T15:24:28.425Z,06f4b2f0-6858-4dce-83bf-2115899010b3,AUT,France,fr,402211143320827,Génération citoyens,Facebook
f9ef0474-21a5-4d4f-bccb-ab07b2d31062,Rassemblement pour Amnéville-Malancourt,2023-02-07T15:06:00.679Z,bb7d1416-912d-46e7-96d2-d7bdaad27c82,RN,France,fr,106454662155648,Rassemblement pour Amnéville-Malancourt,Facebook
8b453583-b687-410a-aa22-d5a874f86f59,Gaëtan Dussausaye,2023-02-27T10:52:46.170Z,aa34dd5b-2fbe-4c18-9fc6-d82b76f10ac5,RN,France,fr,1858305427730339,Gaëtan Dussausaye,Facebook
53406a8c-629d-41a9-b2af-aa2f54773ce5,Kévin Pfeffer,2023-02-07T15:06:00.437Z,045bbb8f-85fd-4121-b507-24cd3e389df9,RN,France,fr,2331414670425861,Kévin Pfeffer,Facebook
21d10c69-518a-4d34-b55b-6567aa1296e7,Jordan Bardella,2023-02-12T10:52:35.244Z,22f68b89-1a1b-4d2a-ac43-c453060c1863,RN,France,fr,1598764970362891,Jordan Bardella,Facebook
676aa00e-e072-4467-95db-67976d102b47,Timothée Houssin - Député de l'Eure,2023-02-07T15:06:00.376Z,25891e47-97d8-42f1-a7e9-f3568966baaf,RN,France,fr,103637939189882,Timothée Houssin - Député de l'Eure,Facebook
da933704-005b-4018-961e-81909f041a2d,Jean-Lin Lacapelle,2023-02-07T15:06:00.438Z,ab8549f1-92af-44da-9e3b-ae47494d574a,RN,France,fr,1536553206605391,Jean-Lin Lacapelle,Facebook
c76ffe1f-508f-4422-924e-1dd59e2dd0fc,Jordan Guitton,2023-02-07T15:06:00.455Z,bef06ba4-11ac-48a5-a0ec-cada6a787289,RN,France,fr,327061281197652,Jordan Guitton,Facebook
71bf7d21-a656-413c-9388-eae889ddd61a,Mathilde Androuët,2023-02-07T15:06:00.498Z,133fb734-a13b-4931-9665-350bd27d179f,RN,France,fr,115640363205428,Mathilde Androuët,Facebook
b0c27527-a252-479d-950b-19caa4ea4e9e,Jean-Philippe Tanguy,2023-02-07T15:06:00.433Z,d24816a1-5435-42d2-a8d0-73a1efd64d80,RN,France,fr,698784793476571,Jean-Philippe Tanguy,Facebook
23962868-8c6f-4bea-9e62-60acc1ddc236,Éric Minardi,2023-02-07T15:06:00.518Z,39da6b1f-c652-4b09-9dd4-e22cca52ee32,RN,France,fr,107741745508015,Éric Minardi,Facebook
d040d0b0-036d-4300-b914-cc570166add2,Thibaut François,2023-02-07T15:06:00.545Z,d7bd8219-0eae-4869-b0dc-53a37e50f8ee,RN,France,fr,105391268907831,Thibaut François,Facebook
849afb6a-bf0b-4f36-a2a2-c288941b4408,Parti de Gauche,2022-08-16T15:24:28.367Z,8b9966a4-84f4-496b-9f86-f51a2767dddd,PG,France,fr,74597480378,Parti de Gauche,Facebook
38bcb475-a384-4927-87a8-82645ff73d4b,Alexandre Loubet,2023-02-07T15:06:00.562Z,24f05363-86df-4a44-b708-9057628b8b43,RN,France,fr,879059765494408,Alexandre Loubet,Facebook
7822ccd6-35d7-4fc1-a5d7-34a45e25fee2,Julien Leonardelli,2023-02-07T15:06:00.679Z,3d41dabd-eda0-4458-9237-862ec5bc0f23,RN,France,fr,426781830675670,Julien Leonardelli,Facebook
dd708721-4418-431a-9b53-0f1f7f913750,Bernard Deflesselles,2023-02-10T10:52:51.215Z,e2fee570-39be-4414-8d5c-92b5ad679a4c,LR,France,fr,408206196020764,Bernard Deflesselles,Facebook
9d0eaa83-f64e-4d36-babb-d37908bd6fa2,Yoann Gillet,2023-02-09T06:27:12.081Z,a02f13ef-294e-4e45-a250-9f9f12cab47a,RN,France,fr,545582345489417,Yoann Gillet,Facebook
abae19d8-85e9-4cb4-992b-a70492c73b6f,Laurent Jacobelli,2023-02-10T10:52:51.364Z,62fcec64-92d4-4115-a513-3839a7543457,RN,France,fr,1592981437581080,Laurent Jacobelli,Facebook
625e8e44-b09b-4c20-b943-96fc79f94287,Jean Paul Garraud,2023-02-12T10:52:35.326Z,8c88931e-bd16-452a-8d30-8b3ac0b9e46b,RN,France,fr,305982272814433,Jean Paul Garraud,Facebook
50e7b350-470f-433f-80fe-6e6eb8113c17,Christine Engrand,2023-02-09T06:27:12.204Z,c43be9de-eec8-4c0e-9d6a-4ab1e8e20c31,RN,France,fr,102700622493309,Christine Engrand,Facebook
ba0e2087-7ced-48d7-b764-9f550d9d8fbb,Victor Catteau,2023-02-12T10:52:35.363Z,93dc7933-853c-48d6-bfee-095a1c979f74,RN,France,fr,107309028691853,Victor Catteau,Facebook
52909526-94fb-4de2-b041-149592d2d493,Anne-Sophie Frigout,2023-02-12T10:52:35.445Z,249924b8-919c-4fd5-a361-8d07a5f67877,AUT,France,fr,416643052024668,Anne-Sophie Frigout,Facebook
